%Bath Temp. (C)	Shape Temp. (C)	Elapsed Time (S)
48.3	45.5	65.75
48.3	45.6	66.00
48.3	45.6	66.25
48.3	45.6	66.50
48.3	45.7	66.75
48.3	45.7	67.00
48.4	45.7	67.25
48.3	45.7	67.50
48.3	45.8	67.75
48.3	45.8	68.00
48.3	45.8	68.25
48.3	45.9	68.50
48.3	45.9	68.75
48.4	45.9	69.00
48.3	45.9	69.25
48.3	46.0	69.50
48.3	46.0	69.75
48.3	46.0	70.00
48.3	46.1	70.25
48.3	46.0	70.50
48.3	46.1	70.75
48.3	46.1	71.00
48.4	46.1	71.25
48.4	46.2	71.50
48.4	46.2	71.75
48.4	46.2	72.00
48.4	46.2	72.25
48.4	46.3	72.50
48.4	46.3	72.75
48.4	46.3	73.00
48.4	46.3	73.25
48.4	46.3	73.50
48.4	46.3	73.75
48.4	46.4	74.00
48.4	46.4	74.25
48.4	46.4	74.50
48.4	46.4	74.75
48.4	46.5	75.00
48.4	46.5	75.25
48.5	46.5	75.50
48.4	46.5	75.75
48.5	46.5	76.00
48.5	46.6	76.25
48.5	46.6	76.50
48.5	46.6	76.75
48.5	46.6	77.00
48.5	46.6	77.25
48.5	46.7	77.50
48.4	46.7	77.75
48.4	46.7	78.00
48.4	46.7	78.25
48.4	46.7	78.50
48.4	46.7	78.75
48.4	46.8	79.00
48.4	46.8	79.25
48.4	46.8	79.50
48.4	46.8	79.75
48.4	46.8	80.00
48.4	46.9	80.25
48.4	46.9	80.50
48.4	46.9	80.75
48.4	46.9	81.00
48.4	46.9	81.25
48.4	46.9	81.50
48.4	47.0	81.75
48.4	47.0	82.00
48.4	47.0	82.25
48.4	47.0	82.50
48.4	47.0	82.75
48.4	47.0	83.00
48.4	47.0	83.25
48.4	47.0	83.50
48.4	47.1	83.75
48.4	47.1	84.00
48.4	47.1	84.25
48.4	47.1	84.50
48.4	47.1	84.75
48.4	47.1	85.00
48.5	47.1	85.25
48.4	47.2	85.50
48.5	47.2	85.75
48.5	47.2	86.00
48.5	47.2	86.25
48.5	47.2	86.50
48.5	47.2	86.75
48.5	47.2	87.00
48.5	47.2	87.25
48.5	47.3	87.50
48.5	47.3	87.75
48.5	47.3	88.00
48.5	47.3	88.25
48.5	47.3	88.50
48.5	47.3	88.75
48.5	47.3	89.00
48.5	47.3	89.25
48.5	47.3	89.50
48.5	47.4	89.75
48.5	47.4	90.00
48.5	47.4	90.25
48.5	47.4	90.50
48.5	47.4	90.75
48.5	47.4	91.00
48.5	47.4	91.25
48.5	47.4	91.50
48.5	47.4	91.75
48.5	47.4	92.00
48.5	47.5	92.25
48.5	47.5	92.50
48.5	47.5	92.75
48.4	47.5	93.00
48.5	47.5	93.25
48.5	47.5	93.50
48.5	47.5	93.75
48.5	47.5	94.00
48.5	47.5	94.25
48.5	47.6	94.50
48.6	47.5	94.75
48.6	47.6	95.00
48.6	47.6	95.25
48.6	47.6	95.50
48.6	47.6	95.75
48.6	47.6	96.00
48.6	47.6	96.25
48.7	47.6	96.50
48.7	47.6	96.75
48.6	47.6	97.00
48.6	47.6	97.25
48.6	47.6	97.50
48.6	47.7	97.75
48.6	47.7	98.00
48.6	47.7	98.25
48.6	47.7	98.50
48.7	47.7	98.75
48.6	47.7	99.00
48.6	47.7	99.25
48.6	47.7	99.50
48.6	47.7	99.75
48.6	47.7	100.00
48.6	47.7	100.25
48.6	47.7	100.50
48.6	47.8	100.75
48.6	47.7	101.00
48.6	47.8	101.25
48.6	47.8	101.50
48.7	47.8	101.75
48.6	47.8	102.00
48.7	47.8	102.25
48.7	47.8	102.50
48.6	47.8	102.75
48.7	47.8	103.00
48.7	47.8	103.25
48.7	47.8	103.50
48.6	47.8	103.75
48.7	47.9	104.00
48.6	47.9	104.25
48.6	47.9	104.50
48.7	47.9	104.75
48.6	47.9	105.00
48.7	47.9	105.25
48.7	47.9	105.50
48.7	47.9	105.75
48.7	47.9	106.00
48.7	47.9	106.25
48.6	47.9	106.50
48.6	47.9	106.75
48.6	47.9	107.00
48.6	47.9	107.25
48.6	47.9	107.50
48.6	48.0	107.75
48.6	48.0	108.00
48.6	48.0	108.25
48.6	48.0	108.50
48.6	48.0	108.75
48.6	48.0	109.00
48.6	48.0	109.25
48.6	48.0	109.50
48.6	48.0	109.75
48.6	48.0	110.00
48.6	48.0	110.25
48.6	48.0	110.50
48.7	48.0	110.75
48.7	48.0	111.00
48.7	48.0	111.25
48.7	48.0	111.50
48.7	48.0	111.75
48.7	48.0	112.00
48.7	48.1	112.25
48.7	48.1	112.50
48.7	48.0	112.75
48.7	48.1	113.00
48.7	48.1	113.25
48.7	48.1	113.50
48.7	48.1	113.75
48.7	48.1	114.00
48.7	48.1	114.25
48.7	48.1	114.50
48.7	48.1	114.75
48.7	48.1	115.00
48.7	48.1	115.25
48.7	48.1	115.50
48.7	48.1	115.75
48.7	48.1	116.00
48.7	48.1	116.25
48.7	48.1	116.50
48.7	48.1	116.75
48.7	48.1	117.00
48.8	48.1	117.25
48.8	48.2	117.50
48.7	48.2	117.75
48.7	48.1	118.00
48.7	48.2	118.25
48.7	48.2	118.50
48.7	48.2	118.75
48.7	48.2	119.00
48.7	48.2	119.25
48.7	48.2	119.50
48.7	48.2	119.75
48.7	48.2	120.00
48.7	48.2	120.25
48.8	48.2	120.50
48.7	48.2	120.75
48.7	48.2	121.00
48.7	48.2	121.25
48.8	48.2	121.50
48.7	48.2	121.75
48.7	48.2	122.00
48.7	48.2	122.25
48.7	48.2	122.50
48.7	48.2	122.75
48.7	48.3	123.00
48.7	48.2	123.25
48.8	48.3	123.50
48.8	48.2	123.75
48.8	48.3	124.00
48.8	48.3	124.25
48.8	48.3	124.50
48.8	48.3	124.75
48.8	48.3	125.00
48.8	48.3	125.25
48.8	48.3	125.50
48.8	48.3	125.75
48.8	48.3	126.00
48.8	48.3	126.25
48.8	48.3	126.50
48.8	48.3	126.75
48.8	48.3	127.00
48.8	48.3	127.25
48.8	48.3	127.50
48.8	48.3	127.75
48.8	48.4	128.00
48.8	48.3	128.25
48.8	48.3	128.50
48.8	48.4	128.75
48.8	48.3	129.00
48.8	48.4	129.25
48.8	48.4	129.50
48.9	48.4	129.75
48.8	48.4	130.00
48.9	48.4	130.25
48.9	48.4	130.50
48.9	48.4	130.75
48.9	48.4	131.00
48.9	48.4	131.25
48.9	48.4	131.50
48.9	48.4	131.75
48.9	48.4	132.00
48.9	48.4	132.25
48.9	48.4	132.50
48.9	48.4	132.75
48.9	48.4	133.00
48.9	48.4	133.25
48.9	48.4	133.50
48.9	48.4	133.75
48.9	48.4	134.00
48.9	48.4	134.25
48.8	48.4	134.50
48.9	48.4	134.75
48.9	48.5	135.00
48.8	48.4	135.25
48.9	48.5	135.50
48.9	48.5	135.75
48.8	48.4	136.00
48.9	48.5	136.25
48.9	48.5	136.50
48.8	48.5	136.75
48.8	48.5	137.00
48.9	48.5	137.25
48.8	48.5	137.50
48.9	48.5	137.75
48.8	48.5	138.00
48.8	48.5	138.25
48.8	48.5	138.50
48.9	48.5	138.75
48.9	48.5	139.00
48.9	48.5	139.25
48.9	48.5	139.50
48.9	48.5	139.75
48.9	48.5	140.00
48.9	48.5	140.25
49.0	48.5	140.50
49.0	48.5	140.75
49.0	48.5	141.00
49.0	48.5	141.25
49.0	48.5	141.50
49.0	48.5	141.75
49.0	48.5	142.00
49.0	48.5	142.25
49.0	48.5	142.50
49.0	48.5	142.75
49.0	48.5	143.00
49.0	48.6	143.25
49.0	48.6	143.50
49.0	48.5	143.75
49.0	48.6	144.00
49.0	48.6	144.25
49.1	48.5	144.50
49.0	48.6	144.75
49.1	48.6	145.00
49.0	48.6	145.25
49.1	48.6	145.50
49.1	48.6	145.75
49.1	48.6	146.00
49.1	48.6	146.25
49.1	48.6	146.50
49.1	48.6	146.75
49.1	48.6	147.00
49.0	48.6	147.25
49.1	48.6	147.50
49.1	48.6	147.75
49.1	48.6	148.00
49.1	48.6	148.25
49.1	48.6	148.50
49.1	48.6	148.75
49.1	48.6	149.00
49.1	48.6	149.25
49.1	48.6	149.50
49.1	48.6	149.75
49.1	48.6	150.00
49.1	48.6	150.25
49.0	48.7	150.50
49.0	48.6	150.75
49.1	48.7	151.00
49.1	48.7	151.25
49.0	48.6	151.50
49.1	48.7	151.75
49.1	48.7	152.00
49.1	48.7	152.25
49.1	48.7	152.50
49.1	48.7	152.75
49.1	48.7	153.00
49.1	48.7	153.25
49.1	48.7	153.50
49.1	48.7	153.75
49.1	48.7	154.00
49.1	48.7	154.25
49.1	48.7	154.50
49.1	48.7	154.75
49.1	48.7	155.00
49.1	48.7	155.25
49.1	48.7	155.50
49.0	48.7	155.75
49.1	48.7	156.00
49.1	48.7	156.25
49.1	48.7	156.50
49.1	48.7	156.75
49.1	48.7	157.00
49.1	48.7	157.25
49.1	48.7	157.50
49.1	48.7	157.75
49.1	48.7	158.00
49.1	48.7	158.25
49.1	48.7	158.50
49.1	48.7	158.75
49.1	48.7	159.00
49.1	48.7	159.25
49.1	48.7	159.50
49.1	48.7	159.75
49.1	48.7	160.00
49.1	48.8	160.25
49.1	48.7	160.50
49.1	48.8	160.75
49.1	48.8	161.00
49.1	48.8	161.25
49.2	48.8	161.50
49.2	48.8	161.75
49.2	48.8	162.00
49.2	48.8	162.25
49.2	48.8	162.50
49.2	48.8	162.75
